txn_id,sender_id,receiver_id,amount_inr,txn_time,mode,bank_ref
351,65,50,36648.02,2025-11-16T19:27:49,UPI,JNIX1978575851268612
352,18,78,557.37,2025-11-16T22:57:57,NEFT,EKVR5917793238223116
353,67,59,69680.9,2025-11-18T11:47:37,IMPS,CBXE7079032020417929
354,31,56,68726.05,2025-11-18T13:05:19,RTGS,EPNA1227770793349605
355,37,56,23018.24,2025-11-20T10:05:51,UPI,CUAT6179817890463378
356,37,29,31087.13,2025-11-23T10:31:10,UPI,HDJL1951510922685926
357,51,60,60052.73,2025-11-24T13:33:21,IMPS,KRAV0106181753443009
358,19,9,28675.78,2025-11-24T15:36:16,UPI,WTPN2637484539862895
359,16,67,66404.04,2025-11-25T15:31:56,UPI,HTDY5596363212347649
360,2,19,3212.07,2025-11-26T14:10:25,NEFT,ASPP5396737948714855
361,49,45,17413.95,2025-11-27T16:02:10,CASH,SCJC6128463985547435
362,1,26,31988.85,2025-11-28T15:36:32,RTGS,FRGV9992192124938430
